Video Number,Video Title,Video Duration,Video URL,Watched,Watch again later,Notes
42,Drake - Trust Issues,4:41,https://www.youtube.com/watch?v=vMGpBAOD2CI,,,
41,VIEWS - 04.29.16,0:31,https://www.youtube.com/watch?v=4ul0ltkgYs8,,,
40,Drake - Hotline Bling,4:56,https://www.youtube.com/watch?v=uxpDa-c-4Mc,,,
39,Drake - Energy,2:58,https://www.youtube.com/watch?v=7LnBvuzjpr4,,,
38,Drake - Worst Behavior,4:38,https://www.youtube.com/watch?v=U5pzmGX8Ztg,,,
37,Drake - Days In The East,6:04,https://www.youtube.com/watch?v=G1opQY1dJ34,,,
36,Drake - Trophies,3:18,https://www.youtube.com/watch?v=vkSFh6HMUtQ,,,
35,Drake - We Made It ft. Soulja Boy,5:45,https://www.youtube.com/watch?v=jhenogvNrno,,,
34,Drake - Worst Behavior,4:38,https://www.youtube.com/watch?v=CccnAvfLPvE,,,
33,"Drake - Hold On, We’re Going Home ft. Majid Jordan",7:02,https://www.youtube.com/watch?v=GxgqpCdOKak,,,
32,Drake - The Motion (ft. Sampha),4:09,https://www.youtube.com/watch?v=BZy1f0Tl7OM,,,
31,Drake - Jodeci (Freestyle) feat. J. Cole,4:38,https://www.youtube.com/watch?v=N0eezhF3RIs,,,
30,Drake - Started From The Bottom,5:21,https://www.youtube.com/watch?v=RubBzkZzpUA,,,
29,Aaliyah feat. Drake - Enough Said,3:57,https://www.youtube.com/watch?v=4HNgVmHSuVM,,,
28,Drake - HYFR (Hell Ya Fucking Right) (Explicit) ft. Lil Wayne,3:53,https://www.youtube.com/watch?v=0KCWqnldEag,,,
27,Drake - Take Care ft. Rihanna,4:09,https://www.youtube.com/watch?v=-zzP29emgpg,,,
26,"Drake - The Motto (Edited) ft. Lil Wayne, Tyga",4:02,https://www.youtube.com/watch?v=0V2VVEH6AX4,,,
25,"Drake - The Motto (Explicit) ft. Lil Wayne, Tyga",4:03,https://www.youtube.com/watch?v=BYDKK95cpfM,,,
24,Drake - VEVO News Interview,2:48,https://www.youtube.com/watch?v=LPG3pBOcrMs,,,
23,Drake - VEVO News Interview: Favorite Weezy Verse,1:32,https://www.youtube.com/watch?v=lJlAYOeGaV4,,,
22,Drake - VEVO News Interview: Working with Stevie Wonder,0:34,https://www.youtube.com/watch?v=oRltJAffP8g,,,
21,Drake - VEVO News Interview: Old School vs. New School,0:35,https://www.youtube.com/watch?v=Vn_MGZq_MME,,,
20,Drake - Headlines (Edited),4:04,https://www.youtube.com/watch?v=k3HCDwDSzO0,,,
19,Drake - Headlines (Explicit),4:04,https://www.youtube.com/watch?v=cimoNqiulUE,,,
